chroma_stft,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
0.354078412,1990.750182,2019.760958,4157.991524,0.083211515,-96.66488647,104.541893,-19.8846283,16.99939537,-5.133568287,0.893877447,-6.290124893,-1.809135675,-7.760899544,-1.310445547,-13.38443184,-1.774632096,-1.946771264,-4.098090649,-0.595300615,1.166971564,-7.890241146,2.345561743,-7.275288582,-1.917721152,happy
0.255086511,1624.838611,1817.066453,3336.279826,0.071396016,-150.8905334,137.6786652,-13.49237156,28.45264816,-1.018419027,-7.393069267,-3.462482929,-16.90135574,1.960961342,-6.402637959,-4.855508804,-6.439023972,-7.579618454,3.680199146,-13.28647709,-10.70167351,-4.552006721,-2.872978926,-7.790328503,-5.248399734,happy
0.319035858,2971.556916,2690.08299,6165.337719,0.147654436,-130.1947632,57.00159454,-1.534214377,17.5421257,6.700546265,-4.208329678,1.267909527,-12.27544022,-6.110565662,-2.062336206,-16.0474205,2.41023159,-5.968127728,0.057160817,-6.110922813,-0.187305272,-2.048609734,3.623069286,-0.81198734,4.340913773,happy
0.326685667,1920.765564,2241.231005,3885.268173,0.078508973,-162.9125824,107.2150879,1.010168314,23.05554581,14.99529552,-1.970820427,4.785038471,-5.114902496,-7.975493908,-0.414749384,-13.73767853,-2.205744982,-12.5562973,-4.574249268,-6.055572033,-9.018047333,-8.335948944,-6.207147121,-11.36850166,-3.80082655,happy
0.30625242,2609.940798,2681.57336,5708.71548,0.107021273,-75.21018219,83.71898651,0.414855003,22.30328941,7.560598373,-0.943087816,6.577329159,-9.550273895,-1.263851762,0.589419365,-7.961893082,0.982081056,-1.762203217,4.834066868,-0.594476521,5.261451244,0.965973556,3.453808784,-6.04153347,2.875669956,happy
0.313113004,2720.221594,2769.510109,5819.039813,0.119600184,-95.21601105,77.24269104,12.17678356,24.54065323,7.975683212,-2.590773582,15.55729103,-16.33835411,5.554487705,0.762758613,-14.72821808,-2.142967224,-5.690196514,6.645210743,0.57293576,11.01565552,7.901978016,7.833918571,-3.337120295,5.730364799,happy
0.408703089,1701.278229,2191.085802,3678.444424,0.051206795,-155.5297546,109.9188004,4.413083553,30.69971848,6.414032936,10.25996399,20.29574013,-3.093019009,10.58386803,10.73117828,-4.094826698,10.85524178,2.374032021,5.90869236,-6.370783806,1.072540283,-3.430514336,0.947708249,-2.111031532,0.777972221,happy
0.324607015,1202.003697,1450.272465,2314.619337,0.050415417,-241.3135681,141.394516,7.220071316,29.89824486,11.75701237,9.768800735,8.848720551,3.772925138,-10.82727242,0.823234558,-4.450942993,-4.266757011,-5.434389114,-2.892888784,-3.734729528,4.526475906,-7.458828449,-1.284946084,-9.747733116,-11.27469444,happy
0.32889238,2859.725568,2644.534393,5883.422757,0.140391441,-109.2189407,62.1531601,-3.891518354,8.745150566,1.211885333,6.920064926,-7.084069729,1.113888979,-4.588383198,2.163282394,-5.415483475,-1.612186551,-6.12308836,-0.335647672,-2.399670601,3.568015575,-2.213736773,6.273845196,-3.925553083,4.761263847,happy
0.222739115,1561.787303,1680.435697,3291.980094,0.068829894,-304.2444763,70.28283691,12.93303108,15.61252975,4.503999233,-2.533095121,-2.753055096,4.023334026,-9.326221466,-1.584097505,-10.44604969,-5.024597168,-3.786260605,-1.737132788,-1.830632329,-1.504292727,-0.850544572,-2.695613623,-6.553453922,-3.408982515,happy
